"","Site","date","meanT","meanRH"
"1","Hampshire",2018-05-17,11.2560763888889,69.5479861111111
"2","Hampshire",2018-05-18,11.1508680555555,75.6323263888889
"3","Hampshire",2018-05-19,12.1998958333333,78.6466666666666
"4","Hampshire",2018-05-20,12.7517708333333,80.2847916666666
"5","Hampshire",2018-05-21,13.2742708333334,90.5672569444444
"6","Hampshire",2018-05-22,15.4624305555556,77.4798263888889
"7","Hampshire",2018-05-23,13.8345138888888,80.1451388888889
"8","Hampshire",2018-05-24,12.4933333333334,97.4427430555556
"9","Hampshire",2018-05-25,13.6708333333334,99.9814236111111
"10","Hampshire",2018-05-26,17.1763541666666,93.2053819444444
"11","Hampshire",2018-05-27,17.6119791666667,94.2028819444444
"12","Hampshire",2018-05-28,17.0777777777778,95.9436458333333
"13","Hampshire",2018-05-29,15.3404861111111,98.2746875
"14","Hampshire",2018-05-30,14.6734027777777,100
"15","Hampshire",2018-05-31,16.1243055555556,100
"16","Hampshire",2018-06-01,16.1442013888889,99.5907986111111
"17","Hampshire",2018-06-02,16.4157986111111,93.5941666666667
"18","Hampshire",2018-06-03,16.1652777777777,90.6120833333333
"19","Hampshire",2018-06-04,15.2531944444444,95.4570138888889
"20","Hampshire",2018-06-05,13.5912847222222,92.2506944444444
"21","Hampshire",2018-06-06,14.2776736111111,86.0775347222222
"22","Hampshire",2018-06-07,14.7302777777778,97.2969444444444
"23","Hampshire",2018-06-08,16.1321875,93.0512152777777
"24","Hampshire",2018-06-09,15.9531597222222,93.0450347222222
"25","Hampshire",2018-06-10,16.2808333333333,94.6817361111111
"26","Hampshire",2018-06-11,15.8929861111111,86.1464236111111
"27","Hampshire",2018-06-12,14.2617708333333,87.8204861111111
"28","Hampshire",2018-06-13,13.5763541666667,86.9846527777778
"29","Hampshire",2018-06-14,15.4978472222222,88.2102777777777
"30","Hampshire",2018-06-15,14.0666319444444,84.2629861111111
"31","Hampshire",2018-06-16,13.9829513888889,89.0925694444445
"32","Hampshire",2018-06-17,13.9696875,93.2430208333333
"33","Hampshire",2018-06-18,16.80625,89.1045486111111
"34","Hampshire",2018-06-19,17.4297569444444,94.4826388888889
"35","Hampshire",2018-06-20,16.9542361111112,93.9431597222222
"36","Hampshire",2018-06-21,13.9288194444444,69.6707986111111
"37","Hampshire",2018-06-22,14.0311111111111,74.7050694444444
"38","Hampshire",2018-06-23,14.6093402777778,81.5871527777778
"39","Hampshire",2018-06-24,15.5681597222222,77.0034722222223
"40","Hampshire",2018-06-25,17.1020486111111,76.9657986111111
"41","Hampshire",2018-06-26,17.5878819444445,76.9094444444445
"42","Hampshire",2018-06-27,17.30125,74.0071527777778
"43","Hampshire",2018-06-28,17.7507986111112,78.5400347222222
"44","Hampshire",2018-06-29,18.47875,73.9539236111112
"45","Hampshire",2018-06-30,18.3303472222223,71.9761805555555
"46","Hampshire",2018-07-01,19.9834375,74.4238194444444
"47","Hampshire",2018-07-02,20.3989583333334,60.3519444444444
"48","Hampshire",2018-07-03,18.7701041666667,62.9432291666667
"49","Hampshire",2018-07-04,17.4124305555556,84.2146527777778
"50","Hampshire",2018-07-05,19.4073263888889,82.1638888888889
"51","Hampshire",2018-07-06,20.0957986111111,77.6561458333333
"52","Hampshire",2018-07-07,20.3801041666667,75.8696875
"53","Hampshire",2018-07-08,20.5265972222222,73.8903819444445
"54","Hampshire",2018-07-09,19.6530555555556,77.5278472222222
"55","Hampshire",2018-07-10,17.4053819444444,72.7643402777777
"56","Hampshire",2018-07-11,16.6495138888889,81.6599652777778
"57","Hampshire",2018-07-12,16.5397916666667,85.4392361111111
"58","Hampshire",2018-07-13,16.7542708333333,96.9938541666667
"59","Hampshire",2018-07-14,17.1613888888889,92.3863194444445
"60","Hampshire",2018-07-15,17.7464236111111,82.9383333333333
"61","Hampshire",2018-07-16,18.1074305555555,80.1572569444445
"62","Hampshire",2018-07-17,16.3376041666667,82.7395833333333
"63","Hampshire",2018-07-18,16.2491666666667,85.2363888888889
"64","Hampshire",2018-07-19,17.2335069444444,83.8351736111111
"65","Hampshire",2018-07-20,18.0005208333334,85.1003472222222
"66","Hampshire",2018-07-21,18.6456597222222,83.6277777777778
"67","Hampshire",2018-07-22,19.2364236111111,77.5069097222222
"68","Hampshire",2018-07-23,21.0345833333334,74.8775347222223
"69","Hampshire",2018-07-24,19.9767708333333,80.1559375
"70","Hampshire",2018-07-25,20.1210416666666,77.1858680555555
"71","Hampshire",2018-07-26,21.3254166666666,75.9110763888889
"72","Hampshire",2018-07-27,19.6178125,86.7007291666666
